Name,URL,Author,Price,Number of Ratings,Average Rating
Picture Books Collection for Early Learning,https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1,E C Axus,230.00,85,3.9 out of 5 stars
Who Will Cry When You Die?,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,Robin Sharma,151.00,2415,4.4 out of 5 stars
Essential English Grammar with Answers,https://www.amazon.in/Essential-English-Grammar-Answers-Raymond/dp/8175960299?_encoding=UTF8&psc=1,Raymond Murphy,129.00,583,4.4 out of 5 stars
Attitude Is Everything: Change Your Attitude ... Change Your Life!,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1,Jeff Keller,159.00,210,4.5 out of 5 stars
Animal Farm,https://www.amazon.in/Animal-Farm-George-Orwell/dp/0143416316?_encoding=UTF8&psc=1,George Orwell,71.00,739,4.6 out of 5 stars
Bharat 2018,https://www.amazon.in/Bharat-2018-Publication-Division/dp/8123027613?_encoding=UTF8&psc=1,Publication Division,245.00,2,2.5 out of 5 stars
Cracking the Coding Interview,https://www.amazon.in/Cracking-Coding-Interview-Laakmann-McDowell/dp/0984782850?_encoding=UTF8&psc=1,Gayle Laakmann,599.00,165,4.1 out of 5 stars
Railway Assistant Loco Pilot and Technician Solved Papers and Practice Sets 2018,https://www.amazon.in/Railway-Assistant-Technician-Solved-Practice/dp/931214782X?_encoding=UTF8&psc=1,Arihant Experts,131.00,6,3.3 out of 5 stars
Life is What You Make It,https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,Preeti Shenoy,82.00,2547,3.9 out of 5 stars
The Old Man and the Sea,https://www.amazon.in/Old-Man-Sea-Ernest-Hemingway/dp/0099908409?_encoding=UTF8&psc=1,Ernest Hemingway,83.00,1017,4.3 out of 5 stars
A History of Medieval India,https://www.amazon.in/History-Medieval-India-Chandra-Satish/dp/8125032266?_encoding=UTF8&psc=1,Chandra Satish,179.90,315,4.1 out of 5 stars
Objective NCERT at your Fingertips - Biology,https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1,MTG Editorial Board,612.00,168,4.7 out of 5 stars
Oswaal CBSE Chapterwise/Topicwise Question Bank for Class 10 Science (Mar.2018 Exam),https://www.amazon.in/Chapterwise-Topicwise-Question-Science-Mar-2018/dp/9386339137?_encoding=UTF8&psc=1,Panel of Experts,283.00,157,4.5 out of 5 stars
The Power of Positive Thinking,https://www.amazon.in/Power-Positive-Thinking-Norman-Vincent/dp/0091906385?_encoding=UTF8&psc=1,Norman Vincent Peale,112.00,673,3.8 out of 5 stars
The Fault in our Stars,https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1,John Green,232.00,1367,4.4 out of 5 stars
